model,attack,epsilon,accuracy
baseline_diffaug,clean,0.0,0.9922
baseline_diffaug,fgsm,0.0,0.9922
baseline_diffaug,fgsm,0.01,0.9894
baseline_diffaug,fgsm,0.02,0.9861
baseline_diffaug,fgsm,0.05,0.9700000000000001
baseline_diffaug,fgsm,0.1,0.9083
baseline_diffaug,fgsm,0.2,0.5697
baseline_diffaug,pgd,0.0,0.9922
baseline_diffaug,pgd,0.01,0.9894
baseline_diffaug,pgd,0.02,0.9859333333333332
baseline_diffaug,pgd,0.05,0.9635000000000001
baseline_diffaug,pgd,0.1,0.8179333333333334
baseline_diffaug,pgd,0.2,0.013199999999999998
adv_training_diffaug,clean,0.0,0.9917
adv_training_diffaug,fgsm,0.0,0.9917000000000001
adv_training_diffaug,fgsm,0.01,0.9906
adv_training_diffaug,fgsm,0.02,0.9899
adv_training_diffaug,fgsm,0.05,0.9874
adv_training_diffaug,fgsm,0.1,0.9780000000000001
adv_training_diffaug,fgsm,0.2,0.9455
adv_training_diffaug,pgd,0.0,0.9917000000000001
adv_training_diffaug,pgd,0.01,0.9906
adv_training_diffaug,pgd,0.02,0.9898000000000001
adv_training_diffaug,pgd,0.05,0.9857999999999999
adv_training_diffaug,pgd,0.1,0.9695333333333332
adv_training_diffaug,pgd,0.2,0.7593
adv_kd_diffaug,clean,0.0,0.9922
adv_kd_diffaug,fgsm,0.0,0.9922
adv_kd_diffaug,fgsm,0.01,0.9901
adv_kd_diffaug,fgsm,0.02,0.9876
adv_kd_diffaug,fgsm,0.05,0.9791
adv_kd_diffaug,fgsm,0.1,0.9579999999999999
adv_kd_diffaug,fgsm,0.2,0.8435
adv_kd_diffaug,pgd,0.0,0.9922
adv_kd_diffaug,pgd,0.01,0.9901
adv_kd_diffaug,pgd,0.02,0.9873
adv_kd_diffaug,pgd,0.05,0.9766
adv_kd_diffaug,pgd,0.1,0.9343666666666667
adv_kd_diffaug,pgd,0.2,0.44229999999999997
