model,attack,epsilon,accuracy
adv_kd,clean,0.0,0.9943666666666667
adv_training,clean,0.0,0.9942333333333333
baseline,clean,0.0,0.9932666666666666
standard_kd,clean,0.0,0.9943333333333334
adv_kd,fgsm,0.0,0.9943666666666667
adv_kd,fgsm,0.01,0.993
adv_kd,fgsm,0.02,0.9914666666666667
adv_kd,fgsm,0.05,0.9842
adv_kd,fgsm,0.1,0.9659666666666666
adv_kd,fgsm,0.2,0.8629333333333333
adv_training,fgsm,0.0,0.9942333333333333
adv_training,fgsm,0.01,0.9933333333333333
adv_training,fgsm,0.02,0.9926666666666666
adv_training,fgsm,0.05,0.9891333333333333
adv_training,fgsm,0.1,0.9819333333333334
adv_training,fgsm,0.2,0.9543
baseline,fgsm,0.0,0.9932666666666666
baseline,fgsm,0.01,0.991
baseline,fgsm,0.02,0.9878333333333335
baseline,fgsm,0.05,0.9714999999999999
baseline,fgsm,0.1,0.9108666666666667
baseline,fgsm,0.2,0.6627
standard_kd,fgsm,0.0,0.9943333333333334
standard_kd,fgsm,0.01,0.9917666666666666
standard_kd,fgsm,0.02,0.9888666666666666
standard_kd,fgsm,0.05,0.9760666666666666
standard_kd,fgsm,0.1,0.9291
standard_kd,fgsm,0.2,0.7101666666666667
adv_kd,pgd,0.0,0.9943666666666667
adv_kd,pgd,0.01,0.993
adv_kd,pgd,0.02,0.9913666666666666
adv_kd,pgd,0.05,0.9817
adv_kd,pgd,0.1,0.9395222222222221
adv_kd,pgd,0.2,0.29123333333333334
adv_training,pgd,0.0,0.9942333333333333
adv_training,pgd,0.01,0.9933333333333333
adv_training,pgd,0.02,0.9923222222222221
adv_training,pgd,0.05,0.9876999999999999
adv_training,pgd,0.1,0.9717666666666668
adv_training,pgd,0.2,0.7357777777777779
baseline,pgd,0.0,0.9932666666666666
baseline,pgd,0.01,0.9909666666666666
baseline,pgd,0.02,0.9874222222222221
baseline,pgd,0.05,0.9645666666666667
baseline,pgd,0.1,0.8005222222222222
baseline,pgd,0.2,0.0094222222222222
standard_kd,pgd,0.0,0.9943333333333334
standard_kd,pgd,0.01,0.991688888888889
standard_kd,pgd,0.02,0.9885555555555555
standard_kd,pgd,0.05,0.9694555555555556
standard_kd,pgd,0.1,0.8343444444444444
standard_kd,pgd,0.2,0.0437222222222222
