model,attack,epsilon,accuracy
baseline,clean,0.0,0.9926
baseline,fgsm,0.0,0.9926
baseline,fgsm,0.01,0.991
baseline,fgsm,0.02,0.9875000000000002
baseline,fgsm,0.05,0.9719000000000001
baseline,fgsm,0.1,0.9131
baseline,fgsm,0.2,0.6694999999999999
baseline,pgd,0.0,0.9926
baseline,pgd,0.01,0.991
baseline,pgd,0.02,0.9870666666666666
baseline,pgd,0.05,0.9645333333333334
baseline,pgd,0.1,0.8267333333333333
baseline,pgd,0.2,0.0068000000000000005
standard_kd,clean,0.0,0.9944
standard_kd,fgsm,0.0,0.9944000000000001
standard_kd,fgsm,0.01,0.9917000000000001
standard_kd,fgsm,0.02,0.9891
standard_kd,fgsm,0.05,0.9762999999999998
standard_kd,fgsm,0.1,0.9326
standard_kd,fgsm,0.2,0.7557
standard_kd,pgd,0.0,0.9944000000000001
standard_kd,pgd,0.01,0.9916666666666667
standard_kd,pgd,0.02,0.989
standard_kd,pgd,0.05,0.9701666666666666
standard_kd,pgd,0.1,0.8543333333333333
standard_kd,pgd,0.2,0.0443
adv_training,clean,0.0,0.994
adv_training,fgsm,0.0,0.9940000000000001
adv_training,fgsm,0.01,0.9927
adv_training,fgsm,0.02,0.9922
adv_training,fgsm,0.05,0.9880999999999999
adv_training,fgsm,0.1,0.9814000000000002
adv_training,fgsm,0.2,0.9566
adv_training,pgd,0.0,0.9940000000000001
adv_training,pgd,0.01,0.9927
adv_training,pgd,0.02,0.9918
adv_training,pgd,0.05,0.9863
adv_training,pgd,0.1,0.9687
adv_training,pgd,0.2,0.7741000000000001
adv_kd,clean,0.0,0.9945
adv_kd,fgsm,0.0,0.9945
adv_kd,fgsm,0.01,0.9936000000000001
adv_kd,fgsm,0.02,0.992
adv_kd,fgsm,0.05,0.9848
adv_kd,fgsm,0.1,0.9651
adv_kd,fgsm,0.2,0.8656
adv_kd,pgd,0.0,0.9945
adv_kd,pgd,0.01,0.9936000000000001
adv_kd,pgd,0.02,0.9917000000000001
adv_kd,pgd,0.05,0.9812
adv_kd,pgd,0.1,0.9354
adv_kd,pgd,0.2,0.22683333333333333
