model,attack,epsilon,mean_accuracy,std_accuracy
baseline,clean,0.0,0.9932666666666666,0.0008326663997864236
baseline,fgsm,0.0,0.9932666666666666,0.0008326663997863614
baseline,fgsm,0.01,0.9910000000000001,0.0007999999999999674
baseline,fgsm,0.02,0.9878333333333335,0.0009451631252505038
baseline,fgsm,0.05,0.9715000000000001,0.0024248711305964498
baseline,fgsm,0.1,0.9108666666666666,0.004130778780488372
baseline,fgsm,0.2,0.6627,0.007351190379795561
baseline,pgd,0.0,0.9932666666666666,0.0008326663997863614
baseline,pgd,0.01,0.9909666666666666,0.0008171767114754407
baseline,pgd,0.02,0.9874222222222223,0.0008572134009771204
baseline,pgd,0.05,0.9645666666666668,0.0010837178804672506
baseline,pgd,0.1,0.8005222222222224,0.023607210135260973
baseline,pgd,0.2,0.00942222222222222,0.0024189835637063507
standard_kd,clean,0.0,0.9943333333333332,0.00030550504633040416
standard_kd,fgsm,0.0,0.9943333333333334,0.0003055050463303557
standard_kd,fgsm,0.01,0.9917666666666668,5.7735026918892126e-05
standard_kd,fgsm,0.02,0.9888666666666667,0.0005859465277082301
standard_kd,fgsm,0.05,0.9760666666666666,0.0021594752448993214
standard_kd,fgsm,0.1,0.9291,0.008508231308562363
standard_kd,fgsm,0.2,0.7101666666666667,0.056311662498396704
standard_kd,pgd,0.0,0.9943333333333334,0.0003055050463303557
standard_kd,pgd,0.01,0.991688888888889,0.0001018350154434519
standard_kd,pgd,0.02,0.9885555555555555,0.0010404770985430762
standard_kd,pgd,0.05,0.9694555555555556,0.0037509011262973364
standard_kd,pgd,0.1,0.8343444444444444,0.058439430498910844
standard_kd,pgd,0.2,0.043722222222222225,0.040503090874282305
adv_training,clean,0.0,0.9942333333333334,0.0002516611478423894
adv_training,fgsm,0.0,0.9942333333333333,0.00025166114784234533
adv_training,fgsm,0.01,0.9933333333333333,0.0006027713773341566
adv_training,fgsm,0.02,0.9926666666666667,0.0005686240703077156
adv_training,fgsm,0.05,0.9891333333333332,0.0009291573243178239
adv_training,fgsm,0.1,0.9819333333333334,0.000757187779440002
adv_training,fgsm,0.2,0.9542999999999999,0.004513313638558654
adv_training,pgd,0.0,0.9942333333333333,0.00025166114784234533
adv_training,pgd,0.01,0.9933333333333333,0.0006027713773341566
adv_training,pgd,0.02,0.9923222222222222,0.0005167562646325972
adv_training,pgd,0.05,0.9877000000000001,0.0013114877048604333
adv_training,pgd,0.1,0.9717666666666668,0.0036020056141605984
adv_training,pgd,0.2,0.7357777777777779,0.06027612696152173
adv_kd,clean,0.0,0.9943666666666667,0.00032145502536645975
adv_kd,fgsm,0.0,0.9943666666666667,0.00032145502536639643
adv_kd,fgsm,0.01,0.993,0.0005196152422707341
adv_kd,fgsm,0.02,0.9914666666666667,0.00050332229568472
adv_kd,fgsm,0.05,0.9842,0.0013076696830621854
adv_kd,fgsm,0.1,0.9659666666666666,0.0007767453465154411
adv_kd,fgsm,0.2,0.8629333333333333,0.002328805129961179
adv_kd,pgd,0.0,0.9943666666666667,0.00032145502536639643
adv_kd,pgd,0.01,0.993,0.0005196152422707341
adv_kd,pgd,0.02,0.9913666666666666,0.00035118845842849135
adv_kd,pgd,0.05,0.9817,0.0006489307444644468
adv_kd,pgd,0.1,0.9395222222222223,0.004695427247550212
adv_kd,pgd,0.2,0.2912333333333333,0.0636471872469196
