model,attack,epsilon,accuracy
baseline,fgsm,0.0,0.9941
baseline,fgsm,0.01,0.9904
baseline,fgsm,0.02,0.9872
baseline,fgsm,0.05,0.9687
baseline,fgsm,0.1,0.9079
baseline,fgsm,0.2,0.6637
baseline,pgd,0.0,0.9941
baseline,pgd,0.01,0.9904
baseline,pgd,0.02,0.9863
baseline,pgd,0.05,0.9603
baseline,pgd,0.1,0.8412
baseline,pgd,0.2,0.5921
standard_kd,fgsm,0.0,0.995
standard_kd,fgsm,0.01,0.9923
standard_kd,fgsm,0.02,0.9894
standard_kd,fgsm,0.05,0.9752
standard_kd,fgsm,0.1,0.9207
standard_kd,fgsm,0.2,0.691
standard_kd,pgd,0.0,0.995
standard_kd,pgd,0.01,0.9923
standard_kd,pgd,0.02,0.9888
standard_kd,pgd,0.05,0.9653
standard_kd,pgd,0.1,0.8649
standard_kd,pgd,0.2,0.5762
adv_kd,fgsm,0.0,0.995
adv_kd,fgsm,0.01,0.9933
adv_kd,fgsm,0.02,0.9919
adv_kd,fgsm,0.05,0.9866
adv_kd,fgsm,0.1,0.9708
adv_kd,fgsm,0.2,0.886
adv_kd,pgd,0.0,0.995
adv_kd,pgd,0.01,0.9933
adv_kd,pgd,0.02,0.9915
adv_kd,pgd,0.05,0.9835
adv_kd,pgd,0.1,0.9602
adv_kd,pgd,0.2,0.893
