model,attack,epsilon,accuracy
baseline,fgsm,0.0,0.9942
baseline,fgsm,0.01,0.991
baseline,fgsm,0.02,0.988
baseline,fgsm,0.05,0.9719
baseline,fgsm,0.1,0.9096
baseline,fgsm,0.2,0.6238
baseline,pgd,0.0,0.9942
baseline,pgd,0.01,0.9909
baseline,pgd,0.02,0.9877
baseline,pgd,0.05,0.9615
baseline,pgd,0.1,0.7686
baseline,pgd,0.2,0.0062
standard_kd,fgsm,0.0,0.9934
standard_kd,fgsm,0.01,0.9909
standard_kd,fgsm,0.02,0.9887
standard_kd,fgsm,0.05,0.9733
standard_kd,fgsm,0.1,0.9132
standard_kd,fgsm,0.2,0.6755
standard_kd,pgd,0.0,0.9934
standard_kd,pgd,0.01,0.9909
standard_kd,pgd,0.02,0.9877
standard_kd,pgd,0.05,0.9636
standard_kd,pgd,0.1,0.7371
standard_kd,pgd,0.2,0.0021
adv_kd,fgsm,0.0,0.9946
adv_kd,fgsm,0.01,0.993
adv_kd,fgsm,0.02,0.9915
adv_kd,fgsm,0.05,0.9848
adv_kd,fgsm,0.1,0.9661
adv_kd,fgsm,0.2,0.8691
adv_kd,pgd,0.0,0.9946
adv_kd,pgd,0.01,0.993
adv_kd,pgd,0.02,0.9913
adv_kd,pgd,0.05,0.9822
adv_kd,pgd,0.1,0.9383
adv_kd,pgd,0.2,0.261
