model,attack,epsilon,accuracy
baseline,fgsm,0.0,0.9943
baseline,fgsm,0.01,0.9927
baseline,fgsm,0.02,0.9893
baseline,fgsm,0.05,0.9745
baseline,fgsm,0.1,0.9204
baseline,fgsm,0.2,0.6992
baseline,pgd,0.0,0.9943
baseline,pgd,0.01,0.9925
baseline,pgd,0.02,0.9889
baseline,pgd,0.05,0.966
baseline,pgd,0.1,0.7631
baseline,pgd,0.2,0.0114
standard_kd,fgsm,0.0,0.9947
standard_kd,fgsm,0.01,0.9925
standard_kd,fgsm,0.02,0.9889
standard_kd,fgsm,0.05,0.9754
standard_kd,fgsm,0.1,0.9241
standard_kd,fgsm,0.2,0.7063
standard_kd,pgd,0.0,0.9947
standard_kd,pgd,0.01,0.9925
standard_kd,pgd,0.02,0.9887
standard_kd,pgd,0.05,0.9675
standard_kd,pgd,0.1,0.7854
standard_kd,pgd,0.2,0.0321
adv_training,fgsm,0.0,0.994
adv_training,fgsm,0.01,0.9926
adv_training,fgsm,0.02,0.992
adv_training,fgsm,0.05,0.9893
adv_training,fgsm,0.1,0.9836
adv_training,fgsm,0.2,0.966
adv_training,pgd,0.0,0.994
adv_training,pgd,0.01,0.9926
adv_training,pgd,0.02,0.9918
adv_training,pgd,0.05,0.9874
adv_training,pgd,0.1,0.9728
adv_training,pgd,0.2,0.7394
adv_kd,fgsm,0.0,0.9942
adv_kd,fgsm,0.01,0.9931
adv_kd,fgsm,0.02,0.9912
adv_kd,fgsm,0.05,0.9851
adv_kd,fgsm,0.1,0.9691
adv_kd,fgsm,0.2,0.8866
adv_kd,pgd,0.0,0.9942
adv_kd,pgd,0.01,0.9931
adv_kd,pgd,0.02,0.9911
adv_kd,pgd,0.05,0.9838
adv_kd,pgd,0.1,0.9476
adv_kd,pgd,0.2,0.3927
