model,attack,epsilon,accuracy
baseline,fgsm,0.0,0.9942
baseline,fgsm,0.01,0.991
baseline,fgsm,0.02,0.988
baseline,fgsm,0.05,0.9719
baseline,fgsm,0.1,0.9096
baseline,fgsm,0.2,0.6238
baseline,pgd,0.0,0.9942
baseline,pgd,0.01,0.9909
baseline,pgd,0.02,0.9877
baseline,pgd,0.05,0.9629
baseline,pgd,0.1,0.8687
baseline,pgd,0.2,0.6516
standard_kd,fgsm,0.0,0.9934
standard_kd,fgsm,0.01,0.9909
standard_kd,fgsm,0.02,0.9887
standard_kd,fgsm,0.05,0.9733
standard_kd,fgsm,0.1,0.9132
standard_kd,fgsm,0.2,0.6755
standard_kd,pgd,0.0,0.9934
standard_kd,pgd,0.01,0.9909
standard_kd,pgd,0.02,0.9878
standard_kd,pgd,0.05,0.9656
standard_kd,pgd,0.1,0.8622
standard_kd,pgd,0.2,0.5393
adv_kd,fgsm,0.0,0.9946
adv_kd,fgsm,0.01,0.993
adv_kd,fgsm,0.02,0.9915
adv_kd,fgsm,0.05,0.9848
adv_kd,fgsm,0.1,0.9661
adv_kd,fgsm,0.2,0.8691
adv_kd,pgd,0.0,0.9946
adv_kd,pgd,0.01,0.993
adv_kd,pgd,0.02,0.9913
adv_kd,pgd,0.05,0.9825
adv_kd,pgd,0.1,0.9597
adv_kd,pgd,0.2,0.899
